FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;10Y;10 years;3;2015-03-02;1.523
B;Business;10Y;10 years;3;2015-03-03;1.54
B;Business;10Y;10 years;3;2015-03-04;1.546
B;Business;10Y;10 years;3;2015-03-05;1.567
B;Business;10Y;10 years;3;2015-03-06;1.639
B;Business;10Y;10 years;3;2015-03-09;1.676
B;Business;10Y;10 years;3;2015-03-10;1.748
B;Business;10Y;10 years;3;2015-03-11;1.717
B;Business;10Y;10 years;3;2015-03-12;1.63
B;Business;10Y;10 years;3;2015-03-13;1.573
B;Business;10Y;10 years;3;2015-03-16;1.564
B;Business;10Y;10 years;3;2015-03-17;1.596
B;Business;10Y;10 years;3;2015-03-18;1.603
B;Business;10Y;10 years;3;2015-03-19;1.599
B;Business;10Y;10 years;3;2015-03-20;1.511
B;Business;10Y;10 years;3;2015-03-23;1.433
B;Business;10Y;10 years;3;2015-03-24;1.457
B;Business;10Y;10 years;3;2015-03-25;1.484
B;Business;10Y;10 years;3;2015-03-26;1.507
B;Business;10Y;10 years;3;2015-03-27;1.492
B;Business;10Y;10 years;3;2015-03-30;1.513
B;Business;10Y;10 years;3;2015-03-31;1.508
B;Business;10Y;10 years;3;2015-04-01;1.497
B;Business;10Y;10 years;3;2015-04-07;1.503
B;Business;10Y;10 years;3;2015-04-08;1.478
B;Business;10Y;10 years;3;2015-04-09;1.465
B;Business;10Y;10 years;3;2015-04-10;1.444
B;Business;10Y;10 years;3;2015-04-13;1.422
B;Business;10Y;10 years;3;2015-04-14;1.438
B;Business;10Y;10 years;3;2015-04-15;1.461
B;Business;10Y;10 years;3;2015-04-16;1.449
B;Business;10Y;10 years;3;2015-04-17;1.441
B;Business;10Y;10 years;3;2015-04-20;1.443
B;Business;10Y;10 years;3;2015-04-21;1.439
B;Business;10Y;10 years;3;2015-04-22;1.442
B;Business;10Y;10 years;3;2015-04-23;1.448
B;Business;10Y;10 years;3;2015-04-24;1.4
B;Business;10Y;10 years;3;2015-04-27;1.419
B;Business;10Y;10 years;3;2015-04-28;1.453
B;Business;10Y;10 years;3;2015-04-29;1.469
B;Business;10Y;10 years;3;2015-04-30;1.495
B;Business;10Y;10 years;3;2015-05-04;1.579
B;Business;10Y;10 years;3;2015-05-05;1.611
B;Business;10Y;10 years;3;2015-05-06;1.616
B;Business;10Y;10 years;3;2015-05-07;1.6
B;Business;10Y;10 years;3;2015-05-08;1.714
B;Business;10Y;10 years;3;2015-05-11;1.812
B;Business;10Y;10 years;3;2015-05-12;1.733
B;Business;10Y;10 years;3;2015-05-13;1.718
B;Business;10Y;10 years;3;2015-05-15;1.824
B;Business;10Y;10 years;3;2015-05-18;1.728
B;Business;10Y;10 years;3;2015-05-19;1.756
B;Business;10Y;10 years;3;2015-05-20;1.768
B;Business;10Y;10 years;3;2015-05-21;1.729
B;Business;10Y;10 years;3;2015-05-22;1.696
B;Business;10Y;10 years;3;2015-05-26;1.699
B;Business;10Y;10 years;3;2015-05-27;1.67
B;Business;10Y;10 years;3;2015-05-28;1.636
B;Business;10Y;10 years;3;2015-05-29;1.626
B;Business;10Y;10 years;3;2015-06-01;1.579
B;Business;10Y;10 years;3;2015-06-02;1.559
B;Business;10Y;10 years;3;2015-06-03;1.542
B;Business;10Y;10 years;3;2015-06-04;1.655
B;Business;10Y;10 years;3;2015-06-05;1.79
B;Business;10Y;10 years;3;2015-06-08;1.773
B;Business;10Y;10 years;3;2015-06-09;1.74
B;Business;10Y;10 years;3;2015-06-10;1.73
B;Business;10Y;10 years;3;2015-06-11;1.776
B;Business;10Y;10 years;3;2015-06-12;1.872
B;Business;10Y;10 years;3;2015-06-15;1.824
B;Business;10Y;10 years;3;2015-06-16;1.86
B;Business;10Y;10 years;3;2015-06-17;1.806
B;Business;10Y;10 years;3;2015-06-18;1.82
B;Business;10Y;10 years;3;2015-06-19;1.824
B;Business;10Y;10 years;3;2015-06-22;1.806
B;Business;10Y;10 years;3;2015-06-23;1.785
B;Business;10Y;10 years;3;2015-06-24;1.835
B;Business;10Y;10 years;3;2015-06-25;1.863
B;Business;10Y;10 years;3;2015-06-26;1.831
B;Business;10Y;10 years;3;2015-06-29;1.903
B;Business;10Y;10 years;3;2015-06-30;1.967
B;Business;10Y;10 years;3;2015-07-01;1.896
B;Business;10Y;10 years;3;2015-07-02;1.902
B;Business;10Y;10 years;3;2015-07-03;1.934
B;Business;10Y;10 years;3;2015-07-06;1.913
B;Business;10Y;10 years;3;2015-07-07;1.883
